sample_id,time,N,13CO2,12CO2,signal_length,mod_mean,mod_std,mod_max,phase_sin_mean,phase_cos_mean,phase_wrap_jumps,modulus_identity_relative_mae,phase_xy_circular_mae_radians,P_med,P_cons,F_med,F_cons,Temp
12:46:00/scan-000,12:46:00,0,0.0,0.0,200000,0.0011507582556942602,0.0003206333199167728,0.0021685567491118037,-0.09983469906517736,-0.819249902537386,66,1.185636275449899e-06,0.002783045674143849,0.9000408274360371,0.8999727817093087,111.0,1000.0,30.3
12:46:00/scan-001,12:46:00,1,0.0,0.0,200000,0.0010753412595857132,0.0002952803587464959,0.00204029926854571,-0.10609437338777833,-0.8722685542129961,126,3.2236240410280307e-06,0.006121108852075593,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
12:46:00/scan-002,12:46:00,2,0.0,0.0,200000,0.0010395189383581296,0.0002917836888208,0.0019286408909896992,-0.12007290646659849,-0.8836878096356989,141,2.279470686936638e-06,0.006131063946094796,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
12:46:00/scan-003,12:46:00,3,0.0,0.0,200000,0.0010706779134720106,0.000297969712621787,0.0018231352976454205,-0.11927202257390776,-0.8770535088141542,127,1.3205281127151516e-06,0.005345908589033107,0.8999727817093087,0.8999727817093087,111.0,1000.0,30.3
12:46:00/scan-004,12:46:00,4,0.0,0.0,200000,0.0010690021100975627,0.0002941694892986257,0.001905264595603212,-0.1236962878233184,-0.8750895273153868,123,1.4934171731497488e-06,0.005616875612160188,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
12:46:00/scan-005,12:46:00,5,0.0,0.0,200000,0.0010486441796964982,0.0002994672121880708,0.0019122232813961156,-0.11427902352590606,-0.8812435743761168,101,1.6223809378431805e-06,0.0061432572529247186,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
12:46:00/scan-006,12:46:00,6,0.0,0.0,200000,0.0010504154375687398,0.00030743411671819006,0.0019717010038156203,-0.13795455497723025,-0.87482334502702,91,3.59997116183492e-06,0.004205142109122515,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
12:46:00/scan-007,12:46:00,7,0.0,0.0,200000,0.0010473317674652778,0.000318899582084252,0.0020491936317562983,-0.1087524195834768,-0.8796318654519517,134,4.256182003169171e-06,0.006216420355221903,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
12:46:00/scan-008,12:46:00,8,0.0,0.0,200000,0.0010802376051875346,0.00031914608830398925,0.0020976282269274203,-0.11959307916272686,-0.8761322327730585,122,2.7981620796467464e-06,0.005642609268517706,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.3
12:46:00/scan-009,12:46:00,9,0.0,0.0,200000,0.0010713652023227676,0.00030513543979013226,0.0020673586613018484,-0.1283400388684466,-0.8904670913550721,149,1.331259429655262e-06,0.0062495436187376685,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.4
12:46:00/scan-010,12:46:00,10,0.0,0.0,200000,0.0010634205737415142,0.0003095268172972337,0.001934099250208939,-0.13245786142372634,-0.8825753865539588,141,5.316711050633787e-06,0.006288916991560987,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.3
12:46:00/scan-011,12:46:00,11,0.0,0.0,200000,0.0010439275894856576,0.00028234729362128214,0.0020274645397300793,-0.1140376980495795,-0.8815219955889194,171,2.928903301788512e-06,0.007800954801315935,0.8999727817093087,0.8999727817093087,110.0,1000.0,30.4
12:46:00/scan-012,12:46:00,12,0.0,0.0,200000,0.0010360010005601376,0.0003127120244817363,0.002142096228220544,-0.13225006206901654,-0.8831285644555951,162,2.8360075662204286e-06,0.007526997348974046,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.4
12:46:00/scan-013,12:46:00,13,0.0,0.0,200000,0.0010768535922186444,0.0003049249241520262,0.0020087518687740427,-0.11968176865252593,-0.8806026927497626,148,3.3627299425295307e-06,0.006562758161229504,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.4
12:46:00/scan-014,12:46:00,14,0.0,0.0,200000,0.0010435606301448103,0.0003137484986938962,0.002073323468698086,-0.13642494486916731,-0.8745388667385874,109,2.6058992044884072e-06,0.005136436998787301,0.9000408274360371,0.8999727817093087,110.0,1000.0,30.4
12:46:00/scan-015,12:46:00,15,0.0,0.0,200000,0.0010848881191664332,0.00029323373096862873,0.0021305976538823993,-0.1455473247372234,-0.8764342285277676,128,2.1729665344943718e-06,0.006500159138075574,0.9000408274360371,0.8999727817093087,109.0,1000.0,30.4
12:46:00/scan-016,12:46:00,16,0.0,0.0,200000,0.0010497007960281717,0.0003036789701269478,0.0019504838865784903,-0.1149157780838052,-0.8873984330918582,108,1.4454968878585e-06,0.0062741859697525056,0.9000408274360371,0.8999727817093087,109.0,1000.0,30.4
12:46:00/scan-017,12:46:00,17,0.0,0.0,200000,0.0010758428749589272,0.00032073822878903784,0.002049147408024441,-0.13923677067298657,-0.8546788870774451,98,1.480243911057298e-06,0.004148657870809072,0.9000408274360371,0.8999727817093087,109.0,1000.0,30.4
