feature,mean
phase_p10,0.16768158094355068
mod_psd_total,0.14539189618352244
mod_peak0_pow,0.06139981694007921
mod_psd_max,0.05789878857661508
mod_skew,0.05238133734369912
phase_median,0.051444506705839076
phase_cos_mean,0.050453796472472424
phase_resultant_length,0.04157310756908328
phase_bin_05_mean,0.036716783508786696
mod_mean,0.025993315808585132
mod_p90,0.0257801608347747
phase_p90,0.0212895069553837
phase_bin_25_mean,0.02023885386509411
mod_median,0.019511365186350358
X_median,0.019427262096071183
phase_bin_24_mean,0.019147066191733526
X_std,0.01796063413337977
X_p10,0.01581834909919586
X_min,0.014425627147316624
phase_std,0.013896148410898354
mod_std,0.01365681542699081
mod_max,0.013401271052913747
phase_circular_mean,0.013255709281998573
X_p90,0.011404869674195711
X_max,0.010074305767751219
phase_bin_04_mean,0.00873436142925398
phase_sin_mean,0.008603680084072196
phase_bin_26_mean,0.008484868527313373
phase_bin_06_mean,0.008236498622971442
mod_p10,0.005870087268954086
Y_skew,0.005163304164360611
phase_bin_03_mean,0.003523342043131116
mod_kurt,0.0029860942631022283
X_kurt,0.001567437289762815
phase_bin_27_mean,0.0012838757685160026
phase_bin_30_mean,0.001119883459641365
X_skew,0.0005992840236754378
phase_bin_02_mean,0.0004942708790942271
phase_bin_31_mean,0.00035335449700852484
Y_std,0.00034378445001559356
phase_bin_07_mean,0.0003318201215797221
Y_min,0.00030458925389333975
phase_bin_01_mean,0.00013755239493041708
mod_peak3_freq,0.00011618347515944293
mod_peak3_pow,0.00010148092060341712
phase_bin_22_mean,9.015590134063691e-05
phase_bin_29_mean,8.056670274509394e-05
Y_median,7.381985701153436e-05
Y_mean,7.343788615678354e-05
phase_min,6.564742842572513e-05
phase_bin_08_mean,6.163039781240923e-05
phase_bin_12_mean,6.146773420012837e-05
Y_p90,5.641510201089348e-05
phase_bin_23_mean,5.508085675947684e-05
mod_min,5.390582169631203e-05
mod_peak2_pow,5.1346371386695315e-05
Y_max,4.985395421174277e-05
phase_bin_15_mean,4.726107115635484e-05
phase_bin_11_mean,4.5479910152448026e-05
mod_peak1_pow,4.239709603042979e-05
phase_bin_13_mean,3.971725897889667e-05
phase_bin_14_mean,3.900556055321195e-05
phase_bin_18_mean,3.86083360809974e-05
Y_kurt,3.7011254924003526e-05
phase_bin_17_mean,3.451309711143871e-05
phase_bin_09_mean,3.3245845016802195e-05
X_mean,3.316919001613937e-05
phase_bin_16_mean,2.8570539730001946e-05
phase_bin_00_mean,2.657978086521882e-05
Y_p10,2.578048566812695e-05
mod_peak4_freq,2.4306643581334568e-05
F_med,2.0330596744597825e-05
phase_bin_19_mean,1.8854050951480884e-05
phase_max,1.7201036998332376e-05
phase_bin_10_mean,1.6716069592177504e-05
phase_bin_28_mean,1.5248343653794453e-05
phase_mean,1.5086219128676666e-05
phase_kurt,1.370155073960598e-05
phase_skew,9.846336312180985e-06
phase_bin_21_mean,8.912788990045332e-06
mod_peak4_pow,8.30321718018028e-06
phase_bin_20_mean,6.388287449951895e-06
mod_peak2_freq,1.8093053155678654e-06
Temp,4.489592867512872e-18
P_med,1.9171748546775717e-18
mod_psd_freq_max,0.0
mod_peak1_freq,0.0
mod_peak0_freq,0.0
mod_psd_mean,0.0
P_cons,0.0
F_cons,0.0
