feature,mean
phase_p10,0.30281478
phase_p90,0.136226
phase_bin_07_mean,0.11781567
mod_mean,0.056657337
mod_p10,0.055554185
phase_cos_mean,0.049104992
mod_peak0_pow,0.046698205
mod_skew,0.041337874
mod_psd_max,0.033083983
mod_psd_total,0.032906365
phase_median,0.021893298
mod_p90,0.017884001
phase_circular_mean,0.010366412
phase_bin_04_mean,0.009851461
phase_bin_05_mean,0.009211762
mod_psd_mean,0.008999557
phase_bin_24_mean,0.008644938
X_min,0.008430256
phase_std,0.007968022
mod_std,0.0050602057
mod_median,0.0030287781
X_std,0.002747385
mod_max,0.0015002907
mod_kurt,0.0013997076
phase_resultant_length,0.001253862
Y_skew,0.0011063708
X_median,0.0010617325
phase_bin_03_mean,0.0010282035
phase_bin_25_mean,0.0008546603
X_p90,0.00050502917
X_p10,0.00045895387
X_kurt,0.00039375637
mod_peak3_pow,0.00039140382
phase_bin_00_mean,0.00033465927
X_max,0.0003324936
phase_bin_13_mean,0.0003098755
phase_min,0.00023966319
Y_std,0.00022952107
phase_bin_30_mean,0.00022913585
phase_bin_29_mean,0.00021056028
X_skew,0.0001597968
phase_max,0.00014761522
phase_bin_27_mean,0.0001245428
Y_median,0.0001183773
Y_mean,0.000118362106
Y_p90,8.9409434e-05
phase_bin_14_mean,6.732467e-05
Y_max,6.310567e-05
phase_bin_12_mean,6.1901635e-05
Y_min,6.158637e-05
Y_p10,5.9700003e-05
phase_bin_09_mean,5.512384e-05
phase_bin_19_mean,5.285958e-05
mod_peak1_pow,4.6432066e-05
X_mean,4.565543e-05
phase_bin_08_mean,4.531311e-05
phase_bin_26_mean,4.2853135e-05
phase_bin_02_mean,4.2186057e-05
mod_min,3.8592083e-05
phase_bin_10_mean,3.7039175e-05
phase_bin_21_mean,3.497043e-05
phase_bin_18_mean,3.2881977e-05
F_med,3.1470696e-05
Y_kurt,3.137234e-05
phase_bin_06_mean,2.9229494e-05
mod_peak2_pow,2.8442093e-05
phase_mean,2.6007827e-05
phase_bin_22_mean,2.4084093e-05
phase_bin_11_mean,1.9885752e-05
mod_peak4_pow,1.9709909e-05
mod_peak4_freq,1.9231704e-05
phase_bin_20_mean,1.9155765e-05
phase_bin_31_mean,1.1847933e-05
mod_peak3_freq,1.1813144e-05
phase_kurt,9.517524e-06
phase_bin_28_mean,7.7663035e-06
phase_sin_mean,7.695863e-06
phase_skew,7.568955e-06
phase_bin_17_mean,5.35795e-06
phase_bin_15_mean,5.174957e-06
phase_bin_01_mean,4.5896045e-06
mod_peak2_freq,3.2636333e-06
phase_bin_16_mean,2.5248494e-06
phase_bin_23_mean,2.4325007e-06
P_med,8.060844e-07
mod_psd_freq_max,0.0
mod_peak1_freq,0.0
mod_peak0_freq,0.0
P_cons,0.0
F_cons,0.0
Temp,0.0
