model,target,group,samples,rmse,mae,bias
PLSNestedCompact,12CO2,12:46:00,20,21.226058782733222,19.340066562246957,19.340066562246957
PLSNestedCompact,12CO2,12:55:42,20,10.221678560153492,6.75906111444979,-5.473552702377678
PLSNestedCompact,12CO2,13:05:15,20,12.860696309581055,9.25388879943587,1.9401172159538014
PLSNestedCompact,12CO2,13:14:37,20,11.682160021445123,7.339395220154944,-1.2094264553139475
PLSNestedCompact,12CO2,13:24:02,20,11.5920296950455,8.268755264584543,-1.6997944787657602
PLSNestedCompact,12CO2,13:33:30,20,11.69165973915802,9.1304032316612,2.471360596286317
PLSNestedCompact,12CO2,13:43:08,20,12.73969188120125,8.759372012340172,-7.910822962474411
PLSNestedCompact,13CO2,12:46:00,20,0.23739636644810302,0.21630315489324398,0.21630315489324398
PLSNestedCompact,13CO2,12:55:42,20,0.1143213890847666,0.07559472777314218,-0.06121768362549851
PLSNestedCompact,13CO2,13:05:15,20,0.14383647454015738,0.10349745117464737,0.02169915826476131
PLSNestedCompact,13CO2,13:14:37,20,0.13065543788417558,0.08208515066488102,-0.013526464818281386
PLSNestedCompact,13CO2,13:24:02,20,0.12964748544758395,0.09247924660132906,-0.01901137890178787
PLSNestedCompact,13CO2,13:33:30,20,0.13076181244117682,0.10211646576105074,0.027640725462797833
PLSNestedCompact,13CO2,13:43:08,20,0.14248320892225264,0.09796664299483412,-0.08847633506691795
PLSNestedFull,12CO2,12:46:00,20,30.33786502154158,29.531788013480575,29.531788013480575
PLSNestedFull,12CO2,12:55:42,20,11.11987077885265,7.500174055405696,-6.43507037524121
PLSNestedFull,12CO2,13:05:15,20,12.643412212735935,8.519533279153228,0.41315444210056784
PLSNestedFull,12CO2,13:14:37,20,11.849987998174175,8.1547597559342,-0.21452256369000794
PLSNestedFull,12CO2,13:24:02,20,13.243081025549737,9.534880909297485,-0.755259504208371
PLSNestedFull,12CO2,13:33:30,20,13.929655555491571,9.81636380765531,0.9671242281125558
PLSNestedFull,12CO2,13:43:08,20,12.959097884109415,8.037028115524059,-6.507943081768836
PLSNestedFull,13CO2,12:46:00,20,0.33930436791278135,0.3302890594958181,0.3302890594958181
PLSNestedFull,13CO2,12:55:42,20,0.12436689659177984,0.08388352378345984,-0.07197137242715448
PLSNestedFull,13CO2,13:05:15,20,0.1414062633958424,0.09528410846717399,0.004621238718283932
PLSNestedFull,13CO2,13:14:37,20,0.13253245098744604,0.09120432823525355,-0.0023992544892986467
PLSNestedFull,13CO2,13:24:02,20,0.14811308174288465,0.10663985263275264,-0.008447499805934044
PLSNestedFull,13CO2,13:33:30,20,0.1557918794093499,0.10978825200298829,0.010817063011487004
PLSNestedFull,13CO2,13:43:08,20,0.14493704190500348,0.08988772987541879,-0.07278625422881409
RidgeNestedCompact,12CO2,12:46:00,20,21.810503225395628,20.51979637145996,20.51979637145996
RidgeNestedCompact,12CO2,12:55:42,20,8.868012194628417,5.496957015991211,-3.4310562133789064
RidgeNestedCompact,12CO2,13:05:15,20,12.241206938354354,8.223765563964843,0.8383499145507812
RidgeNestedCompact,12CO2,13:14:37,20,11.1342877294504,7.064165878295898,0.4624065399169922
RidgeNestedCompact,12CO2,13:24:02,20,10.6052419934442,7.487896347045899,-1.1260631561279297
RidgeNestedCompact,12CO2,13:33:30,20,10.489470404589483,6.579253387451172,-1.3613410949707032
RidgeNestedCompact,12CO2,13:43:08,20,13.42587902722808,9.823773956298828,-9.412400054931641
RidgeNestedCompact,13CO2,12:46:00,20,0.2439331718375485,0.22949759364128114,0.22949759364128114
RidgeNestedCompact,13CO2,12:55:42,20,0.09918159093510498,0.061479032039642334,-0.038373804092407225
RidgeNestedCompact,13CO2,13:05:15,20,0.13690806068650166,0.09197642505168915,0.009376689791679382
RidgeNestedCompact,13CO2,13:14:37,20,0.1245283183487468,0.07900740504264832,0.005171853303909302
RidgeNestedCompact,13CO2,13:24:02,20,0.11861114121793302,0.08374614119529725,-0.012595003843307495
RidgeNestedCompact,13CO2,13:33:30,20,0.11731614706117488,0.07358374595642089,-0.015224981307983398
RidgeNestedCompact,13CO2,13:43:08,20,0.15015816146866115,0.10987188816070556,-0.10527119636535645
RidgeNestedFull,12CO2,12:46:00,20,28.234517743016735,27.620642852783202,27.620642852783202
RidgeNestedFull,12CO2,12:55:42,20,9.535398473983026,5.410018539428711,-3.403230667114258
RidgeNestedFull,12CO2,13:05:15,20,13.254612812189153,9.694723892211915,2.6844051361083983
RidgeNestedFull,12CO2,13:14:37,20,11.373739220987588,7.570915603637696,0.19238319396972656
RidgeNestedFull,12CO2,13:24:02,20,12.568043008512701,8.330876922607422,-1.3528541564941405
RidgeNestedFull,12CO2,13:33:30,20,13.224026463435566,9.266548156738281,-0.03843231201171875
RidgeNestedFull,12CO2,13:43:08,20,15.661026621450008,11.977935028076171,-11.927754974365234
RidgeNestedFull,13CO2,12:46:00,20,0.31578020013312597,0.3089145183563232,0.3089145183563232
RidgeNestedFull,13CO2,12:55:42,20,0.10664576915104496,0.06050679385662079,-0.03806259930133819
RidgeNestedFull,13CO2,13:05:15,20,0.14824230133476976,0.10842804610729218,0.030023255944252016
RidgeNestedFull,13CO2,13:14:37,20,0.12720609476157532,0.08467457890510559,0.0021517097949981688
RidgeNestedFull,13CO2,13:24:02,20,0.14056335413677426,0.09317411184310913,-0.015130949020385743
RidgeNestedFull,13CO2,13:33:30,20,0.1479000407995391,0.10363893508911133,-0.00042936801910400393
RidgeNestedFull,13CO2,13:43:08,20,0.17515610712235252,0.13396379947662354,-0.13340263366699218
