protocol,fold,sample_id,group,role
traditional_logo,0,12:46:00/scan-000,12:46:00,test
traditional_logo,0,12:46:00/scan-001,12:46:00,test
traditional_logo,0,12:46:00/scan-002,12:46:00,test
traditional_logo,0,12:46:00/scan-003,12:46:00,test
traditional_logo,0,12:46:00/scan-004,12:46:00,test
traditional_logo,0,12:46:00/scan-005,12:46:00,test
traditional_logo,0,12:46:00/scan-006,12:46:00,test
traditional_logo,0,12:46:00/scan-007,12:46:00,test
traditional_logo,0,12:46:00/scan-008,12:46:00,test
traditional_logo,0,12:46:00/scan-009,12:46:00,test
traditional_logo,0,12:46:00/scan-010,12:46:00,test
traditional_logo,0,12:46:00/scan-011,12:46:00,test
traditional_logo,0,12:46:00/scan-012,12:46:00,test
traditional_logo,0,12:46:00/scan-013,12:46:00,test
traditional_logo,0,12:46:00/scan-014,12:46:00,test
traditional_logo,0,12:46:00/scan-015,12:46:00,test
traditional_logo,0,12:46:00/scan-016,12:46:00,test
traditional_logo,0,12:46:00/scan-017,12:46:00,test
traditional_logo,0,12:46:00/scan-018,12:46:00,test
traditional_logo,0,12:46:00/scan-019,12:46:00,test
traditional_logo,0,12:55:42/scan-000,12:55:42,fit
traditional_logo,0,12:55:42/scan-001,12:55:42,fit
traditional_logo,0,12:55:42/scan-002,12:55:42,fit
traditional_logo,0,12:55:42/scan-003,12:55:42,fit
traditional_logo,0,12:55:42/scan-004,12:55:42,fit
traditional_logo,0,12:55:42/scan-005,12:55:42,fit
traditional_logo,0,12:55:42/scan-006,12:55:42,fit
traditional_logo,0,12:55:42/scan-007,12:55:42,fit
traditional_logo,0,12:55:42/scan-008,12:55:42,fit
traditional_logo,0,12:55:42/scan-009,12:55:42,fit
traditional_logo,0,12:55:42/scan-010,12:55:42,fit
traditional_logo,0,12:55:42/scan-011,12:55:42,fit
traditional_logo,0,12:55:42/scan-012,12:55:42,fit
traditional_logo,0,12:55:42/scan-013,12:55:42,fit
traditional_logo,0,12:55:42/scan-014,12:55:42,fit
traditional_logo,0,12:55:42/scan-015,12:55:42,fit
traditional_logo,0,12:55:42/scan-016,12:55:42,fit
traditional_logo,0,12:55:42/scan-017,12:55:42,fit
traditional_logo,0,12:55:42/scan-018,12:55:42,fit
traditional_logo,0,12:55:42/scan-019,12:55:42,fit
traditional_logo,0,13:05:15/scan-000,13:05:15,fit
traditional_logo,0,13:05:15/scan-001,13:05:15,fit
traditional_logo,0,13:05:15/scan-002,13:05:15,fit
traditional_logo,0,13:05:15/scan-003,13:05:15,fit
traditional_logo,0,13:05:15/scan-004,13:05:15,fit
traditional_logo,0,13:05:15/scan-005,13:05:15,fit
traditional_logo,0,13:05:15/scan-006,13:05:15,fit
traditional_logo,0,13:05:15/scan-007,13:05:15,fit
traditional_logo,0,13:05:15/scan-008,13:05:15,fit
traditional_logo,0,13:05:15/scan-009,13:05:15,fit
traditional_logo,0,13:05:15/scan-010,13:05:15,fit
traditional_logo,0,13:05:15/scan-011,13:05:15,fit
traditional_logo,0,13:05:15/scan-012,13:05:15,fit
traditional_logo,0,13:05:15/scan-013,13:05:15,fit
traditional_logo,0,13:05:15/scan-014,13:05:15,fit
traditional_logo,0,13:05:15/scan-015,13:05:15,fit
traditional_logo,0,13:05:15/scan-016,13:05:15,fit
traditional_logo,0,13:05:15/scan-017,13:05:15,fit
traditional_logo,0,13:05:15/scan-018,13:05:15,fit
traditional_logo,0,13:05:15/scan-019,13:05:15,fit
traditional_logo,0,13:14:37/scan-000,13:14:37,fit
traditional_logo,0,13:14:37/scan-001,13:14:37,fit
traditional_logo,0,13:14:37/scan-002,13:14:37,fit
traditional_logo,0,13:14:37/scan-003,13:14:37,fit
traditional_logo,0,13:14:37/scan-004,13:14:37,fit
traditional_logo,0,13:14:37/scan-005,13:14:37,fit
traditional_logo,0,13:14:37/scan-006,13:14:37,fit
traditional_logo,0,13:14:37/scan-007,13:14:37,fit
traditional_logo,0,13:14:37/scan-008,13:14:37,fit
traditional_logo,0,13:14:37/scan-009,13:14:37,fit
traditional_logo,0,13:14:37/scan-010,13:14:37,fit
traditional_logo,0,13:14:37/scan-011,13:14:37,fit
