model,target,group,samples,rmse,mae,bias
InceptionNestedAug,12CO2,12:46:00,20,44.0625714297905,43.774737167358396,43.774737167358396
InceptionNestedAug,12CO2,12:55:42,20,28.47724096523917,28.25479965209961,28.25479965209961
InceptionNestedAug,12CO2,13:05:15,20,14.690712822698604,11.051164054870606,-10.821536827087403
InceptionNestedAug,12CO2,13:14:37,20,14.368035811757093,10.693401336669922,3.4234031677246093
InceptionNestedAug,12CO2,13:24:02,20,16.5497871105669,12.783590316772461,-11.40904197692871
InceptionNestedAug,12CO2,13:33:30,20,17.50767408359716,15.334774780273438,-15.334774780273438
InceptionNestedAug,12CO2,13:43:08,20,20.79476000078638,17.547840118408203,-17.547840118408203
InceptionNestedAug,13CO2,12:46:00,20,0.4970617673482449,0.49531026035547254,0.49531026035547254
InceptionNestedAug,13CO2,12:55:42,20,0.31390854294723597,0.31095907390117644,0.31095907390117644
InceptionNestedAug,13CO2,13:05:15,20,0.15485359117293987,0.10768445134162903,-0.1064366340637207
InceptionNestedAug,13CO2,13:14:37,20,0.1645057823074019,0.12663628160953522,0.0446733683347702
InceptionNestedAug,13CO2,13:24:02,20,0.16132425904202014,0.12558889389038086,-0.11307340860366821
InceptionNestedAug,13CO2,13:33:30,20,0.18665096399034012,0.15964818000793457,-0.15964818000793457
InceptionNestedAug,13CO2,13:43:08,20,0.18229530623420584,0.1305733561515808,-0.11872361898422241
InceptionNestedNoAug,12CO2,12:46:00,20,53.13518506953815,53.01860332489014,53.01860332489014
InceptionNestedNoAug,12CO2,12:55:42,20,26.397667591879998,26.03374366760254,26.03374366760254
InceptionNestedNoAug,12CO2,13:05:15,20,13.848064641553275,10.694230461120606,-10.57200984954834
InceptionNestedNoAug,12CO2,13:14:37,20,15.547070684037044,12.731952285766601,5.604814529418945
InceptionNestedNoAug,12CO2,13:24:02,20,17.55742743163563,15.106240844726562,-15.064089965820312
InceptionNestedNoAug,12CO2,13:33:30,20,22.39868918978129,21.241039276123047,-21.241039276123047
InceptionNestedNoAug,12CO2,13:43:08,20,38.121070952507864,37.184435272216795,-37.184435272216795
InceptionNestedNoAug,13CO2,12:46:00,20,0.5548440351820703,0.5529400080442428,0.5529400080442428
InceptionNestedNoAug,13CO2,12:55:42,20,0.3704734513319938,0.3658391863107681,0.3658391863107681
InceptionNestedNoAug,13CO2,13:05:15,20,0.21694214365548564,0.18632811456918716,-0.18632811456918716
InceptionNestedNoAug,13CO2,13:14:37,20,0.1641094566418744,0.12522535324096679,0.04476561546325684
InceptionNestedNoAug,13CO2,13:24:02,20,0.19149763969957673,0.16892497539520263,-0.16892497539520263
InceptionNestedNoAug,13CO2,13:33:30,20,0.20277422232725198,0.18005672693252564,-0.18005672693252564
InceptionNestedNoAug,13CO2,13:43:08,20,0.40529496553500993,0.39082616567611694,-0.39082616567611694
