,0
mod_mean,0.00034677997814775455
mod_std,0.00030000116240519085
mod_min,9.305871123295902e-05
mod_max,0.0015179976579954247
mod_median,0.00022880449110889963
mod_p10,0.00012005374351449532
mod_p90,0.0006964248651071626
mod_skew,0.7232607711822479
mod_kurt,1.1179755344027515
phase_mean,0.06246015332271674
phase_std,0.1911948911393473
phase_min,0.05086374869523796
phase_max,0.056306290118625965
phase_median,0.19238069335083458
phase_p10,0.16616410807234683
phase_p90,0.2762510243769102
phase_skew,0.04116051000109163
phase_kurt,0.06951293731711777
X_mean,2.164168272142091e-05
X_std,0.0005652749352571484
X_min,0.0007293396405774264
X_max,0.001588515443307304
X_median,0.00024231743559631082
X_p10,0.0005200173220274656
X_p90,0.0009429746585331093
X_skew,0.169288498814657
X_kurt,0.2926677825482681
Y_mean,2.1214496489707535e-05
Y_std,5.4080419205453876e-05
Y_min,0.00024271846363298167
Y_max,9.243031002070788e-05
Y_median,3.610254455549418e-05
Y_p10,6.916999678508815e-05
Y_p90,7.379096774976744e-05
Y_skew,0.365098311485783
Y_kurt,0.3497306250947875
phase_bin_00_mean,7.44942757848538e-05
phase_bin_01_mean,5.7032981433811775e-05
phase_bin_02_mean,7.758715168870687e-05
phase_bin_03_mean,0.00011592805446713904
phase_bin_04_mean,0.00023031890753807602
phase_bin_05_mean,0.00039384609857495153
phase_bin_06_mean,0.0005549413857752525
phase_bin_07_mean,0.0007985465974160485
phase_bin_08_mean,0.0006168947087623397
phase_bin_09_mean,0.0002692587915982091
phase_bin_10_mean,0.00023837336882474568
phase_bin_11_mean,0.0002482795061618333
phase_bin_12_mean,0.0002057645697436632
phase_bin_13_mean,0.0002013714884542934
phase_bin_14_mean,0.0002168525643737766
phase_bin_15_mean,0.0002023702423121978
phase_bin_16_mean,0.00019716420465933722
phase_bin_17_mean,0.00021163036519349844
phase_bin_18_mean,0.00021413558577697265
phase_bin_19_mean,0.0002167080723625633
phase_bin_20_mean,0.00024293305237464642
phase_bin_21_mean,0.00024380992989423482
phase_bin_22_mean,0.0002474175539812944
phase_bin_23_mean,0.00100279169925352
phase_bin_24_mean,0.0009006522808894663
phase_bin_25_mean,0.0011082076417323786
phase_bin_26_mean,0.0007819210783003282
phase_bin_27_mean,0.00019698662862473445
phase_bin_28_mean,8.74940435693081e-05
phase_bin_29_mean,7.999225359832733e-05
phase_bin_30_mean,8.780352909536545e-05
phase_bin_31_mean,9.124229934743953e-05
mod_psd_total,2.3763282506446296e-05
mod_psd_max,2.121904796052574e-05
mod_psd_freq_max,1.0
mod_psd_mean,1.1597502667780132e-08
mod_peak0_freq,1.0
mod_peak0_pow,2.121904796052574e-05
mod_peak1_freq,6.487540191733494e-05
mod_peak1_pow,1.5594046424425696e-06
mod_peak2_freq,0.0002920122166425011
mod_peak2_pow,4.6185220187370936e-07
mod_peak3_freq,0.0003095047319562439
mod_peak3_pow,3.5673099684275215e-07
mod_peak4_freq,0.00038875208686084753
mod_peak4_pow,3.1880920517552736e-07
P_med,3.46245835248306e-05
P_cons,1.0
F_med,0.4987228587060336
F_cons,1.0
Temp,0.03829945072440837
