model,target,rmse,mae,r2
Ridge,13CO2,0.2274936008470382,0.17783352732658386,0.9239146709442139
Ridge,12CO2,20.34062656033947,15.90050220489502,0.923914909362793
RandomForest,13CO2,0.3346581371259042,0.3146747091089402,0.8353486884701107
RandomForest,12CO2,29.922428888853926,28.135676858358835,0.835348852811717
XGBoost,13CO2,0.35177538042609774,0.32787829637527466,0.8180745840072632
XGBoost,12CO2,30.458192281400766,27.72772789001465,0.8293998837471008
GradientBoosting,13CO2,0.35386863959275966,0.3281810417156888,0.8159030603992874
GradientBoosting,12CO2,31.77757196494024,29.48983377897956,0.8142997468830205
DeepLearning,13CO2,0.22592563566342394,0.17084597051143646,0.9249598979949951
DeepLearning,12CO2,25.25800340169119,18.213241577148438,0.8826807737350464
