feature,13CO2,12CO2,mean
phase_p10,0.20825053212158015,0.20825053212158015,0.20825053212158015
mod_psd_total,0.15327586580378816,0.15327586580378816,0.15327586580378816
mod_peak0_pow,0.0647345456335049,0.0647345456335049,0.0647345456335049
mod_psd_max,0.06074964461011496,0.06074964461011496,0.06074964461011496
phase_median,0.057374352267853534,0.057374352267853534,0.057374352267853534
mod_skew,0.056336061242513835,0.056336061242513835,0.056336061242513835
phase_p90,0.038160121014185845,0.038160121014185845,0.038160121014185845
phase_bin_05_mean,0.03763957166429201,0.03763957166429201,0.03763957166429201
mod_mean,0.029112470534825446,0.029112470534825446,0.029112470534825446
X_median,0.026390008300005593,0.026390008300005593,0.026390008300005593
phase_bin_25_mean,0.022254076060270196,0.022254076060270196,0.022254076060270196
phase_bin_24_mean,0.02193161223324362,0.02193161223324362,0.02193161223324362
mod_median,0.02086418212560785,0.02086418212560785,0.02086418212560785
mod_p90,0.020726201362793652,0.020726201362793652,0.020726201362793652
X_p90,0.019838325646855743,0.019838325646855743,0.019838325646855743
mod_std,0.018630221706270187,0.018630221706270187,0.018630221706270187
phase_std,0.017506040239215488,0.017506040239215488,0.017506040239215488
mod_max,0.01386835995712257,0.01386835995712257,0.01386835995712257
X_std,0.013507060908458688,0.013507060908458688,0.013507060908458688
X_min,0.012186494964876615,0.012186494964876615,0.012186494964876615
X_max,0.011950918943766016,0.011950918943766016,0.011950918943766016
X_p10,0.010549253798846154,0.010549253798846154,0.010549253798846154
phase_bin_06_mean,0.010158597431888808,0.010158597431888808,0.010158597431888808
phase_bin_04_mean,0.00914802151431816,0.00914802151431816,0.00914802151431816
mod_p10,0.008150730517801304,0.008150730517801304,0.008150730517801304
phase_bin_07_mean,0.006669414074477638,0.006669414074477638,0.006669414074477638
Y_skew,0.006062437944469431,0.006062437944469431,0.006062437944469431
phase_bin_03_mean,0.005743382484928242,0.005743382484928242,0.005743382484928242
phase_bin_26_mean,0.005403550505021165,0.005403550505021165,0.005403550505021165
mod_kurt,0.002908668569744599,0.002908668569744599,0.002908668569744599
X_kurt,0.0019209690834851806,0.0019209690834851806,0.0019209690834851806
phase_bin_27_mean,0.001817977565039486,0.001817977565039486,0.001817977565039486
phase_bin_30_mean,0.0014734568229030475,0.0014734568229030475,0.0014734568229030475
Y_std,0.0009164988536043199,0.0009164988536043199,0.0009164988536043199
Y_min,0.0006678954890802683,0.0006678954890802683,0.0006678954890802683
phase_bin_02_mean,0.0006659227534065439,0.0006659227534065439,0.0006659227534065439
X_skew,0.0004511920883187949,0.0004511920883187949,0.0004511920883187949
phase_bin_01_mean,0.00017437890112104035,0.00017437890112104035,0.00017437890112104035
phase_bin_31_mean,0.0001430271780514848,0.0001430271780514848,0.0001430271780514848
mod_peak3_freq,0.0001159291606137869,0.0001159291606137869,0.0001159291606137869
mod_peak3_pow,0.00010406238839159297,0.00010406238839159297,0.00010406238839159297
phase_bin_29_mean,0.00010286170860785104,0.00010286170860785104,0.00010286170860785104
phase_bin_22_mean,7.418256558444111e-05,7.418256558444111e-05,7.418256558444111e-05
phase_bin_23_mean,7.12091513323605e-05,7.12091513323605e-05,7.12091513323605e-05
Y_p90,7.058470743858871e-05,7.058470743858871e-05,7.058470743858871e-05
Y_median,6.929653993611785e-05,6.929653993611785e-05,6.929653993611785e-05
Y_max,6.906456084443207e-05,6.906456084443207e-05,6.906456084443207e-05
Y_mean,6.573471848385918e-05,6.573471848385918e-05,6.573471848385918e-05
phase_bin_12_mean,6.149986624781106e-05,6.149986624781106e-05,6.149986624781106e-05
phase_bin_15_mean,6.006141666594994e-05,6.006141666594994e-05,6.006141666594994e-05
phase_bin_13_mean,5.576362543297e-05,5.576362543297e-05,5.576362543297e-05
phase_bin_28_mean,5.249134828303161e-05,5.249134828303161e-05,5.249134828303161e-05
phase_bin_14_mean,5.097200299302201e-05,5.097200299302201e-05,5.097200299302201e-05
mod_min,4.9291277690377325e-05,4.9291277690377325e-05,4.9291277690377325e-05
phase_bin_00_mean,4.24580309132045e-05,4.24580309132045e-05,4.24580309132045e-05
mod_peak1_pow,4.147849473715255e-05,4.147849473715255e-05,4.147849473715255e-05
Y_kurt,3.911943026753457e-05,3.911943026753457e-05,3.911943026753457e-05
F_med,3.891441346569522e-05,3.891441346569522e-05,3.891441346569522e-05
phase_bin_17_mean,3.7952907565212177e-05,3.7952907565212177e-05,3.7952907565212177e-05
phase_bin_18_mean,3.45715298786494e-05,3.45715298786494e-05,3.45715298786494e-05
