feature,13CO2,12CO2,mean
phase_p10,0.30083704,0.30083704,0.30083704
mod_psd_total,0.16168693,0.16168693,0.16168693
phase_bin_25_mean,0.1158481,0.1158481,0.1158481
mod_p10,0.063365616,0.063365616,0.063365616
mod_mean,0.055324305,0.055324305,0.055324305
mod_skew,0.051841587,0.051841587,0.051841587
mod_psd_max,0.05062766,0.05062766,0.05062766
phase_p90,0.038750693,0.038750693,0.038750693
mod_max,0.027760055,0.027760055,0.027760055
phase_median,0.023274716,0.023274716,0.023274716
mod_p90,0.020587653,0.020587653,0.020587653
phase_bin_05_mean,0.011781638,0.011781638,0.011781638
phase_bin_07_mean,0.011542409,0.011542409,0.011542409
mod_peak0_pow,0.010970718,0.010970718,0.010970718
mod_median,0.0095407395,0.0095407395,0.0095407395
mod_psd_mean,0.007838373,0.007838373,0.007838373
Y_skew,0.005627438,0.005627438,0.005627438
phase_bin_24_mean,0.005061892,0.005061892,0.005061892
mod_std,0.004928006,0.004928006,0.004928006
X_min,0.004701925,0.004701925,0.004701925
X_p10,0.0033604775,0.0033604775,0.0033604775
phase_std,0.0031180843,0.0031180843,0.0031180843
X_std,0.001868022,0.001868022,0.001868022
mod_kurt,0.0013832633,0.0013832633,0.0013832633
X_p90,0.0012707987,0.0012707987,0.0012707987
X_median,0.0011446052,0.0011446052,0.0011446052
X_max,0.0006990636,0.0006990636,0.0006990636
phase_bin_04_mean,0.0005505722,0.0005505722,0.0005505722
Y_std,0.0004641362,0.0004641362,0.0004641362
mod_peak3_pow,0.00042139168,0.00042139168,0.00042139168
phase_bin_03_mean,0.00041933724,0.00041933724,0.00041933724
X_skew,0.00041136425,0.00041136425,0.00041136425
phase_bin_29_mean,0.00036939426,0.00036939426,0.00036939426
X_kurt,0.00035051178,0.00035051178,0.00035051178
phase_max,0.00026696664,0.00026696664,0.00026696664
phase_bin_00_mean,0.00021170432,0.00021170432,0.00021170432
Y_p90,0.00011921319,0.00011921319,0.00011921319
phase_bin_01_mean,0.00011822117,0.00011822117,0.00011822117
Y_mean,0.00011176024,0.00011176024,0.00011176024
phase_min,0.00010865127,0.00010865127,0.00010865127
phase_bin_26_mean,9.525535e-05,9.525535e-05,9.525535e-05
phase_bin_06_mean,8.234001e-05,8.234001e-05,8.234001e-05
Y_max,7.525205e-05,7.525205e-05,7.525205e-05
mod_peak1_pow,7.218966e-05,7.218966e-05,7.218966e-05
Y_median,7.135453e-05,7.135453e-05,7.135453e-05
Y_min,5.999238e-05,5.999238e-05,5.999238e-05
mod_min,5.93207e-05,5.93207e-05,5.93207e-05
phase_bin_09_mean,5.8695645e-05,5.8695645e-05,5.8695645e-05
phase_bin_12_mean,5.8014062e-05,5.8014062e-05,5.8014062e-05
phase_bin_30_mean,5.6877136e-05,5.6877136e-05,5.6877136e-05
Y_p10,5.2876887e-05,5.2876887e-05,5.2876887e-05
phase_bin_27_mean,4.8851383e-05,4.8851383e-05,4.8851383e-05
Y_kurt,4.478344e-05,4.478344e-05,4.478344e-05
phase_bin_14_mean,3.896405e-05,3.896405e-05,3.896405e-05
phase_bin_21_mean,3.7517228e-05,3.7517228e-05,3.7517228e-05
phase_bin_19_mean,3.6719426e-05,3.6719426e-05,3.6719426e-05
phase_bin_10_mean,3.4123404e-05,3.4123404e-05,3.4123404e-05
mod_peak2_pow,2.7813074e-05,2.7813074e-05,2.7813074e-05
phase_bin_22_mean,2.734703e-05,2.734703e-05,2.734703e-05
X_mean,2.4800614e-05,2.4800614e-05,2.4800614e-05
mod_peak3_freq,2.2369824e-05,2.2369824e-05,2.2369824e-05
phase_bin_02_mean,2.1537584e-05,2.1537584e-05,2.1537584e-05
phase_bin_11_mean,2.0971047e-05,2.0971047e-05,2.0971047e-05
phase_bin_08_mean,1.920248e-05,1.920248e-05,1.920248e-05
phase_bin_13_mean,1.8763494e-05,1.8763494e-05,1.8763494e-05
F_med,1.8362909e-05,1.8362909e-05,1.8362909e-05
phase_mean,1.8267623e-05,1.8267623e-05,1.8267623e-05
phase_bin_15_mean,1.7932192e-05,1.7932192e-05,1.7932192e-05
phase_bin_20_mean,1.6116222e-05,1.6116222e-05,1.6116222e-05
phase_bin_28_mean,1.5677402e-05,1.5677402e-05,1.5677402e-05
phase_bin_17_mean,1.3925576e-05,1.3925576e-05,1.3925576e-05
phase_bin_23_mean,1.2989524e-05,1.2989524e-05,1.2989524e-05
phase_bin_31_mean,1.151791e-05,1.151791e-05,1.151791e-05
phase_skew,9.629043e-06,9.629043e-06,9.629043e-06
P_med,9.529652e-06,9.529652e-06,9.529652e-06
phase_kurt,8.621958e-06,8.621958e-06,8.621958e-06
mod_peak4_pow,7.004468e-06,7.004468e-06,7.004468e-06
phase_bin_18_mean,4.3266455e-06,4.3266455e-06,4.3266455e-06
phase_bin_16_mean,2.5668705e-06,2.5668705e-06,2.5668705e-06
mod_peak4_freq,1.99124e-06,1.99124e-06,1.99124e-06
Temp,3.4287075e-07,3.4287075e-07,3.4287075e-07
mod_peak2_freq,2.86091e-07,2.86091e-07,2.86091e-07
mod_psd_freq_max,0.0,0.0,0.0
mod_peak0_freq,0.0,0.0,0.0
mod_peak1_freq,0.0,0.0,0.0
P_cons,0.0,0.0,0.0
F_cons,0.0,0.0,0.0
